CODE,Id,lat,lon,.geo
1803,0,38.95836325,-77.08567716,"{""type"":""Polygon"",""coordinates"":[[[-77.09042832433362,38.96311219497627],[-77.09042832433362,38.953614315088295],[-77.08092598657409,38.953614330484655],[-77.08092598657409,38.963112212979446],[-77.09042832433362,38.96311219497627]]]}"
1804,0,38.92036278,-77.30417759,"{""type"":""Polygon"",""coordinates"":[[[-77.30892877560845,38.91561385088029],[-77.29942640684195,38.91561386109344],[-77.29942640684195,38.92511173525366],[-77.30892877560845,38.92511171818093],[-77.30892877560845,38.91561385088029]]]}"
1805,0,38.48322126,-77.4656683,"{""type"":""Polygon"",""coordinates"":[[[-77.46092613068429,38.47861300917672],[-77.46092613068429,38.48740641569168],[-77.46355702015909,38.48793699832895],[-77.46411881731987,38.488115346728286],[-77.46765935410907,38.488115347194444],[-77.46746319540581,38.48792362565222],[-77.46743194653186,38.48776310571199],[-77.46759247987222,38.48761150815688],[-77.47042847346253,38.48754459560872],[-77.47042847346253,38.478613029975904],[-77.46092613068429,38.47861300917672]]]}"
1806,0,38.77786331,-76.97167803,"{""type"":""Polygon"",""coordinates"":[[[-76.97642699092142,38.7826122614401],[-76.97642699092142,38.77311437885684],[-76.9669290590602,38.77311438449274],[-76.9669290590602,38.7826122680312],[-76.97642699092142,38.7826122614401]]]}"
1807,0,38.92986293,-77.0381766,"{""type"":""Polygon"",""coordinates"":[[[-77.0334276469359,38.925111785624246],[-77.0334276469359,38.93461410441981],[-77.04292556037858,38.93461409908158],[-77.04292556037858,38.92511178205409],[-77.0334276469359,38.925111785624246]]]}"
1808,0,38.73986284,-77.51317789,"{""type"":""Polygon"",""coordinates"":[[[-77.51792686703541,38.74461183081151],[-77.51792686703541,38.73511388797745],[-77.50842890852641,38.73511390587694],[-77.50842890852641,38.744611781407556],[-77.51792686703541,38.74461183081151]]]}"
1809,0,38.86336434,-77.37067841,"{""type"":""Polygon"",""coordinates"":[[[-77.36592945468638,38.858613187080124],[-77.36592945468638,38.86811552071796],[-77.37542736315471,38.86811549941424],[-77.37542736315471,38.858613174035014],[-77.36592945468638,38.858613187080124]]]}"
1810,0,38.76836317,-77.20917868,"{""type"":""Polygon"",""coordinates"":[[[-77.21392764914397,38.77311434934438],[-77.21392764914397,38.7636120233511],[-77.20442970947036,38.763612011676855],[-77.20442970947036,38.77311434307414],[-77.21392764914397,38.77311434934438]]]}"
1811,0,38.411673,-77.41304282,"{""type"":""Polygon"",""coordinates"":[[[-77.41342775990162,38.412114457768126],[-77.41342775990162,38.41079009697027],[-77.41227292924023,38.41211443860905],[-77.41342775990162,38.412114457768126]]]}"
1812,0,38.84373161,-77.65453228,"{""type"":""Polygon"",""coordinates"":[[[-77.66042629920801,38.83961290644128],[-77.65092842165316,38.83961294436135],[-77.65092842165316,38.8491152977022],[-77.65623026746599,38.849115285756575],[-77.65613667681225,38.847469893302616],[-77.65664945825857,38.84639527556659],[-77.65545890687005,38.84441984939818],[-77.65767955813595,38.8441879980694],[-77.65871847435427,38.84167747769177],[-77.66042629920801,38.84207434815775],[-77.66042629920801,38.83961290644128]]]}"
1813,0,38.70186462,-76.98117814,"{""type"":""Polygon"",""coordinates"":[[[-76.97642699092142,38.69711346344595],[-76.97642699092142,38.70661577775992],[-76.98592927995958,38.70661582761733],[-76.98592927995958,38.69711343578693],[-76.97642699092142,38.69711346344595]]]}"
1814,0,38.66386416,-77.44667708,"{""type"":""Polygon"",""coordinates"":[[[-77.44192591373807,38.66861535294695],[-77.45142825349514,38.6686153261635],[-77.45142825349514,38.659112988193456],[-77.44192591373807,38.6591130049145],[-77.44192591373807,38.66861535294695]]]}"
1815,0,38.55926809,-77.33255624,"{""type"":""Polygon"",""coordinates"":[[[-77.33742686235131,38.554613938016196],[-77.3279290039596,38.55461398117213],[-77.3279290039596,38.56411186858568],[-77.33718158457994,38.56411184210693],[-77.33595983244584,38.56358569427971],[-77.33742686235131,38.56111976794964],[-77.33742686235131,38.560758634466815],[-77.33702551438935,38.55997380028532],[-77.33742686235131,38.55961710853117],[-77.33742686235131,38.554613938016196]]]}"
1816,0,38.834864,-77.28517737,"{""type"":""Polygon"",""coordinates"":[[[-77.28042619344917,38.839612923646754],[-77.28992852632454,38.839612984003985],[-77.28992852632454,38.830115058950284],[-77.28042619344917,38.8301150704014],[-77.28042619344917,38.839612923646754]]]}"
1817,0,39.07236463,-77.48467753,"{""type"":""Polygon"",""coordinates"":[[[-77.47992635247294,39.067615703654646],[-77.47992635247294,39.07711355383909],[-77.48942869439279,39.07711361435983],[-77.48942869439279,39.06761569585269],[-77.47992635247294,39.067615703654646]]]}"
1818,0,38.98686358,-77.52267804,"{""type"":""Polygon"",""coordinates"":[[[-77.51792686703541,38.98211243914128],[-77.51792686703541,38.9916147480933],[-77.52742919558747,38.991614779189526],[-77.52742919558747,38.982112402619784],[-77.51792686703541,38.98211243914128]]]}"
1819,0,38.83230716,-76.81806242,"{""type"":""Polygon"",""coordinates"":[[[-76.82442957860296,38.83011505881516],[-76.8149272151632,38.83011504235157],[-76.8149272151632,38.8365138491564],[-76.81831175250534,38.83470791042178],[-76.8208489509452,38.8316489535615],[-76.82442957860296,38.83092218874874],[-76.82442957860296,38.83011505881516]]]}"
1820,0,39.17686366,-77.21867659,"{""type"":""Polygon"",""coordinates"":[[[-77.21392764914397,39.17211473447534],[-77.21392764914397,39.18161264653081],[-77.22342552775937,39.181612611489],[-77.22342552775937,39.172114704164834],[-77.21392764914397,39.17211473447534]]]}"
